Date ,Open,High,Low,Close,Change (Pips) ,Change (%) 
"Dec 14, 2020 06:00",0.75448,0.75566,0.75448,0.75554,10.6,+0.14%
"Dec 14, 2020 05:00",0.75407,0.75467,0.75358,0.75449,4.2,+0.06%
"Dec 14, 2020 04:00",0.75354,0.75407,0.75345,0.75407,5.3,+0.07%
"Dec 14, 2020 03:00",0.75381,0.75402,0.75343,0.75349,-3.2,-0.04%
"Dec 14, 2020 02:00",0.75346,0.75398,0.75315,0.75386,4,+0.05%
"Dec 14, 2020 01:00",0.75257,0.75379,0.75257,0.75343,8.6,+0.11%
"Dec 14, 2020 00:00",0.75498,0.75509,0.75247,0.75259,-23.9,-0.32%
"Dec 13, 2020 23:00",0.75479,0.75556,0.75475,0.75495,1.6,+0.02%
"Dec 13, 2020 22:00",0.75485,0.75585,0.75475,0.75478,-0.7,-0.01%
"Dec 11, 2020 21:00",0.75359,0.75373,0.75324,0.75349,-1,-0.01%
"Dec 11, 2020 20:00",0.7536,0.75373,0.75297,0.75359,-0.1,+0.00%
"Dec 11, 2020 19:00",0.7535,0.7539,0.75329,0.75359,0.9,+0.01%
"Dec 11, 2020 18:00",0.75302,0.75355,0.75275,0.75352,5,+0.07%
"Dec 11, 2020 17:00",0.75311,0.75315,0.75259,0.75302,-0.9,-0.01%
"Dec 11, 2020 16:00",0.75351,0.75441,0.75297,0.75313,-3.8,-0.05%
"Dec 11, 2020 15:00",0.75321,0.75429,0.75311,0.7535,2.9,+0.04%
"Dec 11, 2020 14:00",0.75362,0.75448,0.75302,0.75323,-3.9,-0.05%
"Dec 11, 2020 13:00",0.75326,0.75398,0.75296,0.75358,3.2,+0.04%
"Dec 11, 2020 12:00",0.75293,0.75346,0.7524,0.75329,3.6,+0.05%
"Dec 11, 2020 11:00",0.75276,0.75294,0.75226,0.7529,1.4,+0.02%
"Dec 11, 2020 10:00",0.75295,0.75422,0.75268,0.75279,-1.6,-0.02%
"Dec 11, 2020 09:00",0.75311,0.75421,0.75249,0.75293,-1.8,-0.02%
"Dec 11, 2020 08:00",0.7556,0.75586,0.75202,0.75313,-24.7,-0.33%
"Dec 11, 2020 07:00",0.75637,0.75686,0.75535,0.7556,-7.7,-0.10%
"Dec 11, 2020 06:00",0.75564,0.75665,0.75558,0.75636,7.2,+0.10%
"Dec 11, 2020 05:00",0.75596,0.75626,0.75554,0.75565,-3.1,-0.04%
"Dec 11, 2020 04:00",0.75608,0.75719,0.75579,0.75596,-1.2,-0.02%
"Dec 11, 2020 03:00",0.75639,0.75666,0.75526,0.75611,-2.8,-0.04%
"Dec 11, 2020 02:00",0.75598,0.75644,0.7554,0.75637,3.9,+0.05%
"Dec 11, 2020 01:00",0.75332,0.75651,0.75332,0.75599,26.7,+0.35%
"Dec 11, 2020 00:00",0.75233,0.75352,0.75229,0.75331,9.8,+0.13%
"Dec 10, 2020 23:00",0.75326,0.75357,0.75223,0.75231,-9.5,-0.13%
"Dec 10, 2020 22:00",0.75338,0.75358,0.75301,0.75321,-1.7,-0.02%
"Dec 10, 2020 21:00",0.7536,0.75398,0.75339,0.75349,-1.1,-0.01%
"Dec 10, 2020 20:00",0.75272,0.75381,0.75272,0.75362,9,+0.12%
"Dec 10, 2020 19:00",0.7531,0.75333,0.75252,0.75272,-3.8,-0.05%
"Dec 10, 2020 18:00",0.75283,0.75341,0.75238,0.75314,3.1,+0.04%
"Dec 10, 2020 17:00",0.75184,0.75328,0.75183,0.75282,9.8,+0.13%
"Dec 10, 2020 16:00",0.75169,0.75207,0.75121,0.75183,1.4,+0.02%
"Dec 10, 2020 15:00",0.75154,0.75288,0.75124,0.75171,1.7,+0.02%
"Dec 10, 2020 14:00",0.75009,0.75165,0.74847,0.75148,13.9,+0.18%
"Dec 10, 2020 13:00",0.74932,0.75146,0.74929,0.75013,8.1,+0.11%
"Dec 10, 2020 12:00",0.74867,0.74974,0.74834,0.74931,6.4,+0.09%
"Dec 10, 2020 11:00",0.74876,0.74956,0.74839,0.74862,-1.4,-0.02%
"Dec 10, 2020 10:00",0.74865,0.74912,0.74848,0.74875,1,+0.01%
"Dec 10, 2020 09:00",0.7479,0.74945,0.74742,0.7487,8,+0.11%
"Dec 10, 2020 08:00",0.74707,0.74848,0.7466,0.74791,8.4,+0.11%
"Dec 10, 2020 07:00",0.74583,0.74741,0.74556,0.74708,12.5,+0.17%
"Dec 10, 2020 06:00",0.74706,0.74709,0.74578,0.74579,-12.7,-0.17%
"Dec 10, 2020 05:00",0.74768,0.74797,0.7471,0.74711,-5.7,-0.08%
"Dec 10, 2020 04:00",0.74702,0.74774,0.74693,0.74768,6.6,+0.09%
"Dec 10, 2020 03:00",0.74729,0.74737,0.74636,0.74701,-2.8,-0.04%
"Dec 10, 2020 02:00",0.74535,0.74746,0.74514,0.74731,19.6,+0.26%
"Dec 10, 2020 01:00",0.7445,0.74536,0.74424,0.74535,8.5,+0.11%
"Dec 10, 2020 00:00",0.74336,0.74472,0.74336,0.74452,11.6,+0.16%
"Dec 09, 2020 23:00",0.74337,0.74372,0.74311,0.74333,-0.4,-0.01%
"Dec 09, 2020 22:00",0.74417,0.74452,0.74255,0.74337,-8,-0.11%
"Dec 09, 2020 21:00",0.74413,0.74439,0.74387,0.7442,0.7,+0.01%
"Dec 09, 2020 20:00",0.74368,0.74436,0.74335,0.74416,4.8,+0.06%
"Dec 09, 2020 19:00",0.74232,0.74379,0.74231,0.74365,13.3,+0.18%
"Dec 09, 2020 18:00",0.74418,0.74429,0.74234,0.74234,-18.4,-0.25%
"Dec 09, 2020 17:00",0.7451,0.74527,0.74346,0.74418,-9.2,-0.12%
"Dec 09, 2020 16:00",0.74607,0.74607,0.74451,0.7451,-9.7,-0.13%
"Dec 09, 2020 15:00",0.74697,0.7471,0.74577,0.74603,-9.4,-0.13%
"Dec 09, 2020 14:00",0.74834,0.74838,0.74694,0.74702,-13.2,-0.18%
"Dec 09, 2020 13:00",0.74821,0.74847,0.74762,0.74832,1.1,+0.01%
"Dec 09, 2020 12:00",0.7476,0.74822,0.74676,0.74822,6.2,+0.08%
"Dec 09, 2020 11:00",0.74785,0.74849,0.74673,0.74756,-2.9,-0.04%
"Dec 09, 2020 10:00",0.7475,0.74799,0.74707,0.74789,3.9,+0.05%
"Dec 09, 2020 09:00",0.74691,0.74762,0.74638,0.74747,5.6,+0.07%
"Dec 09, 2020 08:00",0.74483,0.74719,0.74451,0.74694,21.1,+0.28%
"Dec 09, 2020 07:00",0.74469,0.74522,0.74447,0.74479,1,+0.01%
"Dec 09, 2020 06:00",0.74429,0.74531,0.74429,0.7447,4.1,+0.06%
"Dec 09, 2020 05:00",0.74413,0.74434,0.74375,0.74431,1.8,+0.02%
"Dec 09, 2020 04:00",0.74293,0.74444,0.74289,0.74414,12.1,+0.16%
"Dec 09, 2020 03:00",0.74238,0.74304,0.74212,0.74291,5.3,+0.07%
"Dec 09, 2020 02:00",0.74153,0.74237,0.74122,0.74237,8.4,+0.11%
"Dec 09, 2020 01:00",0.74142,0.74186,0.7409,0.74153,1.1,+0.01%
"Dec 09, 2020 00:00",0.74092,0.74196,0.74077,0.74142,5,+0.07%
"Dec 08, 2020 23:00",0.74116,0.74143,0.74046,0.74092,-2.4,-0.03%
"Dec 08, 2020 22:00",0.74082,0.74148,0.74066,0.74105,2.3,+0.03%
"Dec 08, 2020 21:00",0.74101,0.74115,0.74083,0.74087,-1.4,-0.02%
"Dec 08, 2020 20:00",0.74063,0.74104,0.7403,0.74102,3.9,+0.05%
"Dec 08, 2020 19:00",0.74094,0.74113,0.74039,0.74063,-3.1,-0.04%
"Dec 08, 2020 18:00",0.7417,0.74181,0.74081,0.74093,-7.7,-0.10%
"Dec 08, 2020 17:00",0.74127,0.74176,0.74103,0.74168,4.1,+0.06%
"Dec 08, 2020 16:00",0.74134,0.74173,0.74088,0.74132,-0.2,+0.00%
"Dec 08, 2020 15:00",0.74119,0.74147,0.73994,0.74131,1.2,+0.02%
"Dec 08, 2020 14:00",0.74133,0.7419,0.7406,0.74117,-1.6,-0.02%
"Dec 08, 2020 13:00",0.74149,0.74261,0.74123,0.7413,-1.9,-0.03%
"Dec 08, 2020 12:00",0.74121,0.7418,0.74102,0.74153,3.2,+0.04%
"Dec 08, 2020 11:00",0.74263,0.74273,0.74113,0.74116,-14.7,-0.20%
"Dec 08, 2020 10:00",0.74328,0.74342,0.74234,0.74268,-6,-0.08%
"Dec 08, 2020 09:00",0.74258,0.7435,0.7425,0.74325,6.7,+0.09%
"Dec 08, 2020 08:00",0.74147,0.7427,0.74053,0.74258,11.1,+0.15%
"Dec 08, 2020 07:00",0.74125,0.74177,0.7404,0.74147,2.2,+0.03%
"Dec 08, 2020 06:00",0.74231,0.74252,0.74101,0.74126,-10.5,-0.14%
"Dec 08, 2020 05:00",0.74245,0.74269,0.74221,0.74229,-1.6,-0.02%
"Dec 08, 2020 04:00",0.74251,0.74293,0.74225,0.74246,-0.5,-0.01%
"Dec 08, 2020 03:00",0.7426,0.74281,0.74208,0.74248,-1.2,-0.02%
"Dec 08, 2020 02:00",0.7418,0.7427,0.74168,0.74265,8.5,+0.11%
"Dec 08, 2020 01:00",0.74138,0.74261,0.74134,0.74175,3.7,+0.05%
"Dec 08, 2020 00:00",0.74156,0.74185,0.74104,0.74141,-1.5,-0.02%
"Dec 07, 2020 23:00",0.74154,0.74203,0.7415,0.74152,-0.2,+0.00%
"Dec 07, 2020 22:00",0.74193,0.74232,0.74145,0.74153,-4,-0.05%
"Dec 07, 2020 21:00",0.74219,0.74245,0.74177,0.74187,-3.2,-0.04%
"Dec 07, 2020 20:00",0.74285,0.74292,0.74173,0.74219,-6.6,-0.09%
"Dec 07, 2020 19:00",0.74336,0.74342,0.74278,0.74285,-5.1,-0.07%
"Dec 07, 2020 18:00",0.74489,0.74489,0.7427,0.74339,-15,-0.20%
"Dec 07, 2020 17:00",0.74484,0.74535,0.7446,0.74485,0.1,+0.00%
"Dec 07, 2020 16:00",0.74433,0.74517,0.74415,0.74484,5.1,+0.07%
"Dec 07, 2020 15:00",0.74394,0.74455,0.74353,0.74431,3.7,+0.05%
"Dec 07, 2020 14:00",0.74238,0.74448,0.7422,0.74398,16,+0.22%
"Dec 07, 2020 13:00",0.73994,0.74268,0.73986,0.74236,24.2,+0.33%
"Dec 07, 2020 12:00",0.73916,0.74004,0.7387,0.73992,7.6,+0.10%
"Dec 07, 2020 11:00",0.73855,0.73923,0.73829,0.73919,6.4,+0.09%
"Dec 07, 2020 10:00",0.73847,0.73899,0.73782,0.73852,0.5,+0.01%
"Dec 07, 2020 09:00",0.73958,0.73967,0.73723,0.73848,-11,-0.15%
"Dec 07, 2020 08:00",0.74221,0.74221,0.73955,0.73958,-26.3,-0.36%
"Dec 07, 2020 07:00",0.74295,0.74299,0.74207,0.74222,-7.3,-0.10%
"Dec 07, 2020 06:00",0.74293,0.74302,0.74253,0.7429,-0.3,+0.00%
"Dec 07, 2020 05:00",0.74291,0.74313,0.74282,0.74294,0.3,+0.00%
"Dec 07, 2020 04:00",0.74316,0.74323,0.74275,0.74288,-2.8,-0.04%
"Dec 07, 2020 03:00",0.74311,0.74346,0.74278,0.74317,0.6,+0.01%
"Dec 07, 2020 02:00",0.74282,0.74335,0.74268,0.74309,2.7,+0.04%
"Dec 07, 2020 01:00",0.74319,0.74337,0.74238,0.7428,-3.9,-0.05%
"Dec 07, 2020 00:00",0.74299,0.74324,0.7425,0.74319,2,+0.03%
